Key_,HouseHold,Cluster Code,Question_Name,Question,Option_Name,EnumeratorAnswer,Translation,Level,Coder,Enumerator,Coding Time,row,
uuid:0028763d-0470-49a1-957a-d59c94a3848e-1,731,12611011,B18,B18. Did you face any of the following problems (countrywide / communitywide) in the last 12 months  ,1. Natural disaster (drought; flood; storms; hurricane; landslides; forest fires; heat wave),Tez hawa ki waja sy fasal.bet geya ta,,HH Level,Rabia_Shah,Asad Nawaz,1/31/2022 12:55:58 PM,1,
uuid:01221d2a-8376-4241-be27-92dd6b80c8d3-7,1061,12521124,C9,Why have you never attended school?,2. Disabled,Special bacho k school nahi. Zehni mazoor bachi hay.aur khatoon e Khana jhoot bol Rahi assests chupa Rahi. Ye hamko mehsus hua.,,Individual Level,Rabia_Shah,Sobia Ali,1/31/2022 1:01:38 PM,1,
uuid:01521f38-ec60-4c99-a666-93668cf83036-1,1521,12421043,A23,A23. Where did (NAME) carry out his/her main work during the past week?If did not work last week but usually has a job: Where does (NAME) usually carry out his/her job?(Read out responses below),Client's place (client is someone for whom s/he is providing service),Khud ki ghari chalata hu,,Individual Level,Rabia_Shah,Nighat Naz,1/31/2022 1:02:18 PM,1,
uuid:028c58d5-6a39-45d3-b870-d5fcf7ef5653-1,322,12421017,B20,B20. What did the household do to overcome this hardship?,l. Other (specify),Ghar ki bhains derh saal phly bechi thi 2 lakh ki us peson se guzara Kya pichly sal .,,HH Level,Rabia_Shah,Hira Moazzam,1/31/2022 12:57:25 PM,1,
uuid:028c58d5-6a39-45d3-b870-d5fcf7ef5653-9,322,12421017,A23,A23. Where did (NAME) carry out his/her main work during the past week?If did not work last week but usually has a job: Where does (NAME) usually carry out his/her job?(Read out responses below),Client's place (client is someone for whom s/he is providing service),Islambad me ksi k ghar pr rehta hy aur cooking krta hy srf un k liy,,Individual Level,Rabia_Shah,Hira Moazzam,1/31/2022 1:02:39 PM,1,
uuid:02aa948d-9e4e-43ea-8c50-6f20cadd83ce-2,1101,12611030,A39,A39. Why was (NAME) not available or did not want to work? ,6. Student (studying),Nazira Quran,,Individual Level,Rabia_Shah,Muhammad Zeeshan Ali,1/31/2022 1:03:15 PM,1,
uuid:0353a7f5-162d-4d93-b6f9-fa4a9f010381-5,711,12221042,A23,A23. Where did (NAME) carry out his/her main work during the past week?If did not work last week but usually has a job: Where does (NAME) usually carry out his/her job?(Read out responses below),Construction sites,Batrasi road pr panther uthata hun aur gharon ki bhari krta hun.,,Individual Level,Rabia_Shah,Shumaila,1/31/2022 1:04:00 PM,1,
uuid:0353a7f5-162d-4d93-b6f9-fa4a9f010381-6,711,12221042,A23,A23. Where did (NAME) carry out his/her main work during the past week?If did not work last week but usually has a job: Where does (NAME) usually carry out his/her job?(Read out responses below),Pond / lake / river / canal,Ghr k qareeb nadii main.,,Individual Level,Rabia_Shah,Shumaila,1/31/2022 1:04:54 PM,1,
uuid:0380daa0-b9db-4f73-b64c-cc20fb4053de-1,191,12611004,A6a,Disability Status,Lower limb disability,Raan ki haddi tuti Hui hay.,,Individual Level,Rabia_Shah,Muhammad Abrar Khan,1/31/2022 1:05:21 PM,1,
uuid:05d30ed8-f568-42b8-a146-d75d0bd288c4-3,721,12611002,A14,A14. What is the level of school hat (NAME) is attending?,23 = Other (specify),Hifz e quran,,Individual Level,Rabia_Shah,Waqas Ahmad,1/31/2022 1:06:16 PM,1,
